divname,divrating,plusminus,season,teamid,teamname,type,year,observed_ratings
5/2 Div 3,900.0,1.7,Summer,29810,Flying Salsa,Club,2010,1002.0
5/2 Div 3,900.0,4.06666666667,Summer,29816,Granite State Grass Stains,Club,2010,1144.0
5/2 Div 3,900.0,-0.190476190476,Summer,29763,Hungry Hippos,Club,2010,888.571428571
5/2 Div 3,900.0,2.44444444444,Summer,29764,Jesse and the Rippers,Club,2010,1046.66666667
5/2 Div 3,900.0,6.875,Summer,29835,Killer Bees,Club,2010,1312.5
5/2 Div 3,900.0,-0.923076923077,Summer,29823,M.O.B.,Club,2010,844.615384615
5/2 Div 3,900.0,0.0,Summer,29697,Porkbellies,Club,2010,900.0
5/2 Div 3,900.0,-0.916666666667,Summer,29716,Spawning Alewives,Club,2010,845.0
5/2 Div 3,900.0,-2.18181818182,Summer,29809,Stacked,Club,2010,769.090909091
5/2 Div 3,900.0,5.625,Summer,29857,Sweet Tea Mob,Club,2010,1237.5
5/2 Div 3,900.0,-0.25,Summer,29710,The Huckaneers,Club,2010,885.0
5/2 Div 3,900.0,1.15,Summer,29705,THEM!,Club,2010,969.0
5/2 Div 3,900.0,-1.125,Summer,29844,Whistle Tips,Club,2010,832.5
5/2 Div 4,800.0,-7.0,Summer,29814,Deadliest Catch,Club,2010,380.0
5/2 Div 4,800.0,-9.66666666667,Summer,29831,Destructo Disc,Club,2010,220.0
5/2 Div 4,800.0,-2.36363636364,Summer,29846,Natick Ultimate,Club,2010,658.181818182
5/2 Div 4,800.0,-8.875,Summer,29867,Team Funwolf,Club,2010,267.5
5/2 Div 4,800.0,0.5,Summer,29837,WolfGang,Club,2010,830.0
Open Div 1,1400.0,5.06666666667,Summer,29757,Black and Blue,Club,2010,1704.0
Open Div 1,1400.0,0.684210526316,Summer,29704,Crossroads,Club,2010,1441.05263158
Open Div 1,1400.0,5.75,Summer,29752,Drunken Clams,Club,2010,1745.0
Open Div 1,1400.0,-2.22222222222,Summer,29818,Fat Bass,Club,2010,1266.66666667
Open Div 1,1400.0,4.85714285714,Summer,29836,HAMMERED,Club,2010,1691.42857143
Open Div 1,1400.0,-10.4,Summer,30610,Masconomet Ultimate,Club,2010,776.0
Open Div 1,1400.0,-1.58333333333,Summer,29847,Savage Strike,Club,2010,1305.0
Open Div 1,1400.0,1.66666666667,Summer,29826,TRON,Club,2010,1500.0
Open Div 1,1400.0,6.23076923077,Summer,29848,Tufts,Club,2010,1773.84615385
Open Div 1,1400.0,-1.92857142857,Summer,29842,WiPPs Boston,Club,2010,1284.28571429
Open Div 2,1200.0,1.9,Summer,29856,1412 Beacon,Club,2010,1314.0
Open Div 2,1200.0,-8.8,Summer,30413,Discellaneous,Club,2010,672.0
Open Div 2,1200.0,-1.71428571429,Summer,29834,DISCtinguished Gentlemen,Club,2010,1097.14285714
Open Div 2,1200.0,0.555555555556,Summer,29854,Flying Jackalopes,Club,2010,1233.33333333
Open Div 2,1200.0,-9.8,Summer,29851,Hucking Fooligans,Club,2010,612.0
Open Div 2,1200.0,-6.15384615385,Summer,29747,Jiggy,Club,2010,830.769230769
Open Div 2,1200.0,-3.0,Summer,29833,Lazer Tacos,Club,2010,1020.0
Open Div 2,1200.0,0.666666666667,Summer,29682,Lucky Huckers,Club,2010,1240.0
Open Div 2,1200.0,-0.666666666667,Summer,29849,Nipmuc Alumni,Club,2010,1160.0
Open Div 2,1200.0,5.45454545455,Summer,29767,Scoober Steve,Club,2010,1527.27272727
Open Div 2,1200.0,-10.8461538462,Summer,29715,Sky Hard,Club,2010,549.230769228
Open Div 2,1200.0,3.18181818182,Summer,29691,Skynet,Club,2010,1390.90909091
Open Div 2,1200.0,3.91666666667,Summer,30418,Stall 9,Club,2010,1435.0
Open Div 2,1200.0,-3.21052631579,Summer,29701,Summer SC WiPPs,Club,2010,1007.36842105
Milford Open,0.0,-2.28571428571,Winter,29253,Soylent Green (11),Hat,2010,-137.142857143
Milford Open,0.0,-2.14285714286,Winter,29254,Outside In Job (12),Hat,2010,-128.571428572
Milford Open,0.0,-0.5,Winter,29255,Starring Mel Gibson (13),Hat,2010,-30.0
Milford Open,0.0,8.5,Winter,29256,YELLOW! (14),Hat,2010,510.0
Milford Open,0.0,2.5,Winter,29257,Inside Out Job (15),Hat,2010,150.0
Milford Open,0.0,-4.28571428571,Winter,29258,Blackout (16),Hat,2010,-257.142857143
Milford Open,0.0,0.5,Winter,29259,Deepthroat (17),Hat,2010,30.0
Milford Open,0.0,-3.85714285714,Winter,29260,Grassy Knoll (18),Hat,2010,-231.428571428
